    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, bubble_cmp, bubble_swaps, bubble_time
 1750,        767448,          765710,            868,     20192,       11496,        104,     56709,       17872,        160,    1530375,       765710,        4176
 1751,        768072,          766333,            858,     20514,       12561,        104,     56751,       17863,        138,    1532125,       766333,        4188
 1752,        768164,          766424,            866,     21791,       13544,        107,     56733,       17899,        139,    1533876,       766424,        4199
 1753,        769504,          767763,            871,     19554,        9769,        103,     56783,       17902,        137,    1535628,       767763,        4270
 1754,        769968,          768226,            842,     20205,       11366,        104,     56762,       17913,        140,    1537381,       768226,        4212
 1755,        770522,          768779,            863,     19662,       10808,        104,     56840,       17937,        138,    1539135,       768779,        4219
 1756,        770749,          769005,            841,     20791,       12122,        104,     56878,       17909,        137,    1540890,       769005,        4207
 1757,        771922,          770177,            861,     20354,       11257,        106,     56919,       17943,        138,    1542646,       770177,        4306
 1758,        773103,          771357,            861,     20179,       11190,        109,     56886,       17935,        140,    1544403,       771357,        4211
 1759,        773949,          772202,            863,     19732,       11386,        104,     56859,       17960,        139,    1546161,       772202,        4235
 1760,        775507,          773759,            872,     22810,       10765,        107,     57002,       17958,        138,    1547920,       773759,        4243
 1761,        775595,          773846,            866,     22168,       12779,        108,     57026,       17968,        137,    1549680,       773846,        4271
 1762,        775667,          773917,            846,     23758,       14403,        111,     57032,       17989,        139,    1551441,       773917,        4250
 1763,        777298,          775547,            849,     21315,       10708,        106,     57067,       18000,        137,    1553203,       775547,        4254
 1764,        777598,          775846,            868,     22569,       12779,        108,     57077,       17987,        140,    1554966,       775846,        4272
 1765,        777961,          776208,            868,     20628,       11811,        104,     57102,       18010,        139,    1556730,       776208,        4274
 1766,        778531,          776777,            865,     20901,       11196,        103,     57184,       18024,        140,    1558495,       776777,        4258
 1767,        780120,          778365,            871,     21074,       10643,        119,     57184,       18030,        142,    1560261,       778365,        4268
 1768,        780865,          779109,            871,     20530,       10333,        105,     57337,       18058,        139,    1562028,       779109,        4283
 1769,        781393,          779636,            897,     21297,       11897,        104,     57369,       18071,        139,    1563796,       779636,        4293
 1770,        782394,          780636,            871,     20808,       11778,        105,     57367,       18056,        138,    1565565,       780636,        4297
 1771,        783592,          781833,            856,     20978,       11755,        106,     57417,       18061,        141,    1567335,       781833,        4304
 1772,        784343,          782583,            874,     19641,       11625,        105,     57329,       18099,        138,    1569106,       782583,        4374
 1773,        785968,          784207,            882,     22492,       10167,        109,     57367,       18105,        140,    1570878,       784207,        4313
 1774,        786922,          785160,            879,     21397,       11429,        106,     57420,       18102,        138,    1572651,       785160,        4313
 1775,        787258,          785495,            860,     20874,       12129,        105,     57477,       18126,        141,    1574425,       785495,        4321
 1776,        788975,          787211,            881,     22795,       11386,        107,     57474,       18133,        138,    1576200,       787211,        4340
 1777,        789661,          787896,            863,     21655,       12828,        108,     57491,       18137,        140,    1577976,       787896,        4328
 1778,        790806,          789040,            882,     21349,       12336,        107,     57533,       18161,        139,    1579753,       789040,        4338
 1779,        790906,          789139,            866,     21586,       12279,        108,     57583,       18172,        142,    1581531,       789139,        4326
 1780,        791933,          790165,            898,     21383,       10706,        106,     57617,       18154,        139,    1583310,       790165,        4348
 1781,        792077,          790308,            869,     21802,       12804,        108,     57627,       18171,        139,    1585090,       790308,        4383
 1782,        792511,          790741,            846,     20610,       11568,        103,     57546,       18182,        137,    1586871,       790741,        4253
 1783,        793658,          791887,            865,     22014,       12435,        133,     57689,       18197,        249,    1588653,       791887,        4385
 1784,        794193,          792421,            938,     21206,       12000,        105,     57713,       18225,        142,    1590436,       792421,        4361
 1785,        794934,          793161,            869,     22261,       12513,        106,     57748,       18249,        135,    1592220,       793161,        4253
 1786,        794993,          793219,            873,     23647,       14464,        147,     57775,       18236,        172,    1594005,       793219,        4266
 1787,        795217,          793442,            866,     22523,       13695,        107,     57812,       18263,        137,    1595791,       793442,        4489
 1788,        796391,          794615,            848,     23176,       12948,        107,     57881,       18264,        136,    1597578,       794615,        4279
 1789,        796425,          794648,            869,     24035,       13255,        109,     57931,       18269,        192,    1599366,       794648,        4366
 1790,        797364,          795586,            870,     22772,       12415,        106,     57908,       18290,        136,    1601155,       795586,        4370
 1791,        798796,          797017,            872,     21185,        9925,        113,     57928,       18285,        187,    1602945,       797017,        4294
 1792,        800293,          798513,            871,     21921,       11433,        102,     58000,       18306,        136,    1604736,       798513,        4366
 1793,        802053,          800272,            889,     21841,       11007,        107,     58027,       18316,        135,    1606528,       800272,        4417
 1794,        803631,          801849,            877,     25047,       13837,        110,     58068,       18322,        136,    1608321,       801849,        4376
 1795,        804359,          802576,            873,     21208,       11389,        105,     58088,       18341,        136,    1610115,       802576,        4417
 1796,        806023,          804239,            878,     20802,       10486,        103,     58116,       18331,        136,    1611910,       804239,        4471
 1797,        807601,          805816,            927,     22420,       11236,        105,     58133,       18336,        137,    1613706,       805816,        4330
 1798,        808184,          806398,            891,     21789,       12618,        104,     58187,       18369,        137,    1615503,       806398,        4521
 1799,        808674,          806887,            878,     21863,       13652,        104,     58189,       18367,        138,    1617301,       806887,        4454
 1800,        809675,          807887,            902,     20452,       11415,        105,     58340,       18380,        142,    1619100,       807887,        4453
 1801,        810500,          808711,            914,     21444,       12276,        106,     58379,       18386,        141,    1620900,       808711,        4439
 1802,        811108,          809318,            944,     21159,       12881,        106,     58282,       18416,        141,    1622701,       809318,        4474
 1803,        811356,          809565,            886,     21803,       13771,        106,     58313,       18412,        140,    1624503,       809565,        4491
 1804,        812602,          810810,            906,     21276,       12482,        108,     58354,       18419,        141,    1626306,       810810,        4490
 1805,        814402,          812609,            910,     21746,       11638,        111,     58392,       18420,        143,    1628110,       812609,        4555
 1806,        815186,          813392,            913,     22229,       12469,        110,     58320,       18439,        143,    1629915,       813392,        4479
 1807,        815688,          813893,            912,     21908,       12702,        108,     58406,       18458,        142,    1631721,       813893,        4500
 1808,        816248,          814452,            909,     22460,       13246,        108,     58504,       18471,        143,    1633528,       814452,        4489
 1809,        817779,          815982,            910,     21750,       11651,        109,     58526,       18486,        141,    1635336,       815982,        4524
 1810,        817893,          816095,            903,     22357,       12708,        109,     58607,       18500,        142,    1637145,       816095,        4520
 1811,        819236,          817437,            897,     20537,       10997,        106,     58593,       18504,        142,    1638955,       817437,        4525
 1812,        820669,          818869,            912,     22253,       11547,        107,     58641,       18512,        144,    1640766,       818869,        4567
 1813,        821561,          819760,            907,     20797,       11807,        108,     58697,       18518,        143,    1642578,       819760,        4528
 1814,        822906,          821104,            909,     21290,       11634,        108,     58649,       18531,        143,    1644391,       821104,        4530
 1815,        823036,          821233,            899,     23267,       13928,        111,     58723,       18535,        142,    1646205,       821233,        4528
 1816,        823611,          821807,            918,     22855,       12370,        110,     58752,       18569,        144,    1648020,       821807,        4551
 1817,        825316,          823511,            914,     22340,       11707,        110,     58786,       18579,        143,    1649836,       823511,        4546
 1818,        826987,          825181,            910,     21597,       11774,        110,     58797,       18564,        146,    1651653,       825181,        4575
 1819,        828582,          826775,           1026,     22150,       11656,        111,     58825,       18579,        162,    1653471,       826775,        4615
 1820,        828724,          826916,            957,     24654,       13549,        116,     58866,       18613,        160,    1655290,       826916,        4616
 1821,        828729,          826920,            925,     26528,       15396,        117,     58891,       18636,        143,    1657110,       826920,        4601
 1822,        830028,          828218,            913,     21647,       11891,        111,     58996,       18609,        146,    1658931,       828218,        4630
 1823,        830371,          828560,            915,     21341,       11415,        109,     58915,       18649,        182,    1660753,       828560,        4639
 1824,        831970,          830158,            911,     23606,       13365,        112,     58994,       18626,        151,    1662576,       830158,        4689
 1825,        833303,          831490,            911,     21678,       11708,        112,     59015,       18631,        145,    1664400,       831490,        4625
 1826,        833563,          831749,            919,     22768,       12994,        113,     59061,       18652,        145,    1666225,       831749,        4752
 1827,        835252,          833437,            917,     27255,       14551,        119,     59093,       18657,        149,    1668051,       833437,        4612
 1828,        835755,          833939,            924,     21552,       11135,        110,     59114,       18669,        152,    1669878,       833939,        4626
 1829,        836466,          834649,            954,     21732,       11079,        110,     59143,       18681,        165,    1671706,       834649,        4662
 1830,        836559,          834741,            921,     22525,       13054,        111,     59173,       18681,        150,    1673535,       834741,        4624
 1831,        838266,          836447,            929,     24062,       12485,        114,     59226,       18706,        146,    1675365,       836447,        4677
 1832,        839060,          837240,            918,     21392,       11735,        112,     59250,       18725,        204,    1677196,       837240,        4676
 1833,        840757,          838936,            921,     23681,       12014,        114,     59252,       18747,        146,    1679028,       838936,        4634
 1834,        841724,          839902,            921,     21510,       11488,        111,     59328,       18728,        145,    1680861,       839902,        4659
 1835,        842067,          840244,            929,     21595,       12635,        124,     59358,       18755,        214,    1682695,       840244,        4648
 1836,        842616,          840792,            936,     21479,       12517,        110,     59297,       18743,        149,    1684530,       840792,        4670
 1837,        843925,          842100,            926,     22519,       10801,        110,     59323,       18756,        144,    1686366,       842100,        4704
 1838,        845131,          843305,            942,     21163,       11957,        110,     59451,       18804,        145,    1688203,       843305,        4695
 1839,        846293,          844466,            927,     21339,       12674,        109,     59488,       18786,        146,    1690041,       844466,        4664
 1840,        847723,          845895,            989,     24072,       12833,        115,     59474,       18808,        172,    1691880,       845895,        4676
 1841,        847828,          845999,            939,     23159,       12689,        120,     59548,       18817,        148,    1693720,       845999,        4714
 1842,        849328,          847498,            929,     23584,       12970,        126,     59582,       18802,        182,    1695561,       847498,        4740
 1843,        850513,          848682,            934,     21153,       11788,        114,     59580,       18822,        152,    1697403,       848682,        4810
 1844,        850984,          849152,            965,     21637,       12153,        112,     59661,       18871,        157,    1699246,       849152,        4696
 1845,        852521,          850688,            934,     21675,       11319,        110,     59665,       18873,        145,    1701090,       850688,        4753
 1846,        853242,          851408,            948,     22290,       12198,        114,     59753,       18866,        147,    1702935,       851408,        4762
 1847,        854196,          852361,            935,     22541,       11748,        113,     59783,       18867,        153,    1704781,       852361,        4721
 1848,        856015,          854179,            969,     23433,       11125,        115,     59771,       18903,        158,    1706628,       854179,        4738
 1849,        857641,          855804,            937,     22186,       11660,        110,     59816,       18905,        146,    1708476,       855804,        4716
 1850,        858122,          856284,            938,     24134,       11868,        111,     59832,       18911,        207,    1710325,       856284,        4778
 1851,        858531,          856692,            948,     24412,       12769,        112,     59861,       18917,        147,    1712175,       856692,        4740
 1852,        859843,          858003,            941,     20766,       11379,        110,     59764,       18927,        153,    1714026,       858003,        4744
 1853,        860989,          859148,            945,     22600,       13585,        123,     59848,       18944,        180,    1715878,       859148,        4962
 1854,        862407,          860565,            956,     23316,       11309,        113,     59945,       18951,        148,    1717731,       860565,        4767
 1855,        863930,          862087,            977,     24527,       12057,        131,     59982,       18955,        170,    1719585,       862087,        4824
 1856,        865240,          863396,            946,     21020,       11354,        110,     59965,       18976,        154,    1721440,       863396,        4742
 1857,        865641,          863796,            946,     22020,       12064,        111,     59989,       18988,        145,    1723296,       863796,        4732
 1858,        866160,          864314,            946,     21260,       10868,        110,     60029,       18987,        146,    1725153,       864314,        4759
 1859,        866662,          864815,            947,     22203,       12305,        111,     60051,       18998,        144,    1727011,       864815,        4746
 1860,        868032,          866184,            968,     23122,       13753,        112,     60101,       19017,        148,    1728870,       866184,        4790
 1861,        869170,          867321,            968,     20486,       11231,        110,     60158,       19033,        146,    1730730,       867321,        4797
